id,archetype,text,legendary_low,legendary_high,top_low,top_high,advanced_low,advanced_high,growing_low,growing_high,common_low,common_high
1,,"AT de Chute {value} para jogadores do mesmo elemento",1,1.5,0.8,1.2,0.7,1,0.6,0.7,0.5,0.5
2,,"AT/DF de Choque {value} para jogadores do mesmo elemento",1,1.1,0.8,1,0.7,0.9,0.6,0.8,0.5,0.7
3,,"AT/DF de Embate {value} para jogadores do mesmo elemento",2,3.5,1.7,3.04,1.5,2.5,1.2,2,1,1.5
4,,"DF da Muralha {value} para jogadores do mesmo elemento",1,1.5,0.8,1.3,0.7,1.1,0.6,0.9,0.5,0.7
5,,"AT de Chute {value} para jogadores de elementos diferentes",1,1.5,0.8,1.3,0.7,1.1,0.6,0.9,0.5,0.7
6,,"AT/DF de Choque {value} para jogadores de elementos diferentes",1,1.5,0.8,1.3,0.7,1.1,0.6,0.9,0.5,0.7
7,,"AT/DF de Embate {value} para jogadores de elementos diferentes",3,4.5,2.7,4,2.5,3.5,2.2,3,2,2.5
8,,"DF da Muralha {value} para jogadores de elementos diferentes",1,1.5,0.8,1.3,0.7,1.1,0.56,0.9,0.5,0.7
9,,"AT de Chute {value} para jogadores da mesma posição",2.5,3.5,2.2,3.1,2,2.7,1.7,2.3,1.5,2
10,,"AT/DF de Choque {value} para jogadores da mesma posição",1,1.5,0.8,1.3,0.7,1.1,0.6,0.9,0.5,0.7
11,,"AT/DF de Embate {value} para jogadores da mesma posição",7,8.5,6.7,8,6.5,7.5,6.2,7,6,6.5
12,,"DF da Muralha {value} para jogadores da mesma posição",1.5,2,1.2,1.7,1,1.5,0.72,1.2,0.5,1
13,,"AT de Chute {value} para jogadores de posições diferentes",1,1.2,0.8,1,0.7,0.9,0.6,0.8,0.5,0.7
14,,"AT/DF de Choque {value} para jogadores de posições diferentes",3,4.5,2.7,4,2.5,3.5,2.2,3,2,2.5
15,,"AT/DF de Embate {value} para jogadores de posições diferentes",1.5,2,1.2,1.7,1,1.5,0.72,1.2,0.5,1
16,,"AT de Chute {value} para jogadores próximos",2,3.5,1.7,3,1.5,2.5,1.2,2,1,1.5
17,,"AT/DF de Choque {value} para jogadores próximos",1.5,2,1.2,1.7,1,1.5,0.7,1.2,0.5,1
18,,"AT/DF de Embate {value} para jogadores próximos",7,8.5,6.7,8,6.5,7.5,6.2,7,6,6.5
19,,"DF da Muralha {value} para jogadores próximos",2,3.5,1.7,3,1.5,2.5,1.2,2,1,1.5
20,,"Se outro jogador de mesmo elemento estiver próximo, aumenta o próprio AT de Chute em {value}",6,8,5,7,4,6,3,5,2,4
21,,"Se outro jogador de mesmo elemento estiver próximo, aumenta o próprio AT/DF de Choque em {value}",7,8,6,7,5,6,4,5,3,4
22,,"Se outro jogador de mesmo elemento estiver próximo, aumenta o próprio AT/DF de Embate em {value}",15,20,12,17,10.2,15,7,12,5,10
23,,"Se outro jogador de mesmo elemento estiver próximo, aumenta o DF da própria Muralha em {value}",6,7,5.5,6.5,5,6,4.5,5.5,4,5
24,,"Se outro jogador de elemento diferente estiver próximo, aumenta o próprio AT de Chute em {value}",6,8,5,7,4,6,3,5,2,4
25,,"Se outro jogador de elemento diferente estiver próximo, aumenta o próprio AT/DF de Choque em {value}",5.5,7,5.3,6.5,5,6,4.7,5.5,4.5,5
26,,"Se outro jogador de elemento diferente estiver próximo, aumenta o DF da própria Muralha em {value}",4,5,3.7,4.7,3.5,4.5,3.2,4.2,3,4
27,,"Aumenta o próprio AT/DF de Choque em {value} enquanto estiver no seu lado do campo",5.5,7,5.3,6.5,5,6,4.7,5.5,4.5,5
28,,"Aumenta o próprio AT/DF de Embate em {value} enquanto estiver no seu lado do campo",12,15,10,13,9,12,8,11,7,10
29,,"O time recebe AT/DF de Choque {value} enquanto estiver no seu lado do campo",0.6,1,0.48,0.8,0.36,0.36,0.24,0.24,0.12,0.2
30,,"Aumenta o próprio AT de Chute em {value} enquanto estiver no lado do campo adversário",6,8,5,7,4,6,3,5,2,4
31,,"Aumenta o próprio AT/DF de Choque em {value} enquanto estiver no lado do campo adversário",6,7,5.5,6.5,5,6,4.5,5.5,4,5
32,,"Aumenta o próprio AT/DF de Embate em {value} enquanto estiver no lado do campo adversário",10,13,9,12,8,11,7,10,6,9
33,,"O time recebe AT/DF de Choque {value} enquanto estiver no lado do campo adversário",0.6,1,0.48,0.8,0.36,0.6,0.24,0.4,0.12,0.2
34,,"Aumenta o próprio AT/DF de Choque em {value} enquanto estiver fora da Zona de ÁREA",5,6,4.5,5.5,4,5,3.5,4.5,3,4
35,,"Aumenta o próprio AT/DF de Embate em {value} enquanto estiver fora da Zona de ÁREA",10,13,8,11,7,10,6,9,5,8
36,,"O time recebe AT/DF de Choque {value} enquanto estiver fora da Zona de ÁREA",0.6,1,0.48,0.8,0.36,0.6,0.24,0.4,0.12,0.2
